Identifiant arc,Date et heure de comptage,Débit horaire,Taux d'occupation,Etat trafic,Identifiant noeud amont,Identifiant noeud aval,geo_point_2d,heure,jour_semaine,is_weekend,lat,lon
5096,2025-01-06 08:00:00+00:00,641.0,26.72167,Pré-saturé,2690,900,"48.8368039996201, 2.3727312158959704",8,0,0,48.8368039996201,2.3727312158959704
4844,2025-03-10 18:00:00+00:00,455.0,20.09111,Pré-saturé,2580,2581,"48.887455517678035, 2.3877553012294106",18,0,0,48.887455517678035,2.3877553012294106
5679,2025-05-09 10:00:00+00:00,149.0,20.91778,Pré-saturé,2975,2974,"48.836121844579125, 2.300263040684597",10,4,0,48.836121844579125,2.300263040684597
5369,2025-07-23 18:00:00+00:00,3000.0,14.75,Fluide,918,915,"48.90072530781521, 2.371325565298014",18,2,0,48.90072530781521,2.371325565298014
4226,2025-09-02 12:00:00+00:00,450.0,6.82945,Fluide,2269,2261,"48.87492165108901, 2.3054470290446014",12,1,0,48.87492165108901,2.3054470290446014
1916,2025-10-10 20:00:00+00:00,853.0,22.15222,Pré-saturé,2061,2062,"48.88425703260311, 2.330090277596609",20,4,0,48.88425703260311,2.330090277596609
4787,2025-11-04 22:00:00+00:00,170.0,3.95278,Fluide,3052,2549,"48.8382719906119, 2.356332138570039",22,1,0,48.8382719906119,2.356332138570039
5934,2025-12-02 08:00:00+00:00,900.0,6.33944,Fluide,3082,3083,"48.88369029569291, 2.332441379660131",8,1,0,48.88369029569291,2.332441379660131
6556,2025-06-04 19:00:00+00:00,449.0,69.30778,Bloqué,3398,2580,"48.88801961515594, 2.38994883703183",19,2,0,48.88801961515594,2.38994883703183
1495,2025-08-26 11:00:00+00:00,93.0,0.34389,Fluide,796,787,"48.88194750362747, 2.400022229952983",11,1,0,48.88194750362747,2.400022229952983
522,2025-10-09 22:00:00+00:00,1157.0,11.45445,Fluide,307,308,"48.86397460512845, 2.3513026241315576",22,3,0,48.86397460512845,2.3513026241315576
4532,2025-11-04 15:00:00+00:00,982.0,2.24667,Fluide,2428,3195,"48.85794434322401, 2.2879570464024455",15,1,0,48.85794434322401,2.2879570464024455
5932,2025-12-02 07:00:00+00:00,811.0,12.03556,Fluide,2062,3082,"48.88390993151407, 2.3315402505190486",7,1,0,48.88390993151407,2.3315402505190486
5098,2025-01-06 08:00:00+00:00,327.0,16.22556,Pré-saturé,2693,2403,"48.846548214430534, 2.2738728794910488",8,0,0,48.846548214430534,2.2738728794910488
4844,2025-03-10 17:00:00+00:00,427.0,48.82111,Saturé,2580,2581,"48.887455517678035, 2.3877553012294106",17,0,0,48.887455517678035,2.3877553012294106
5679,2025-05-09 09:00:00+00:00,176.0,23.19445,Pré-saturé,2975,2974,"48.836121844579125, 2.300263040684597",9,4,0,48.836121844579125,2.300263040684597
5369,2025-07-23 17:00:00+00:00,3000.0,31.15,Saturé,918,915,"48.90072530781521, 2.371325565298014",17,2,0,48.90072530781521,2.371325565298014
4220,2025-09-02 11:00:00+00:00,332.0,32.51444,Saturé,2264,2261,"48.87457774124796, 2.303302306960396",11,1,0,48.87457774124796,2.303302306960396
1917,2025-10-10 21:00:00+00:00,212.0,4.67222,Fluide,2056,2054,"48.885402861648146, 2.3266169500527614",21,4,0,48.885402861648146,2.3266169500527614
5939,2025-12-02 00:00:00+00:00,210.0,4.82,Inconnu,3085,3084,"48.88234880023468, 2.3385609206690385",0,1,0,48.88234880023468,2.3385609206690385
5124,2025-01-06 08:00:00+00:00,369.0,3.19611,Fluide,2253,2703,"48.83502836904792, 2.3763485871727865",8,0,0,48.83502836904792,2.3763485871727865
5725,2025-05-09 12:00:00+00:00,270.0,3.88167,Fluide,2997,2996,"48.83250555847874, 2.312181556433602",12,4,0,48.83250555847874,2.312181556433602
6556,2025-06-04 17:00:00+00:00,360.0,81.78389,Bloqué,3398,2580,"48.88801961515594, 2.38994883703183",17,2,0,48.88801961515594,2.38994883703183
1482,2025-08-26 10:00:00+00:00,219.0,0.76278,Fluide,786,787,"48.87978790744333, 2.4008661853852256",10,1,0,48.87978790744333,2.4008661853852256
4532,2025-11-04 18:00:00+00:00,1378.0,13.18889,Fluide,2428,3195,"48.85794434322401, 2.2879570464024455",18,1,0,48.85794434322401,2.2879570464024455
5101,2025-01-06 08:00:00+00:00,348.0,6.86889,Fluide,2632,2629,"48.82573772182281, 2.3478814473100806",8,0,0,48.82573772182281,2.3478814473100806
5436,2025-02-12 17:00:00+00:00,3000.0,20.3,Pré-saturé,2441,2437,"48.863457759231785, 2.2660740271913795",17,2,0,48.863457759231785,2.2660740271913795
4844,2025-03-10 16:00:00+00:00,383.0,54.99222,Bloqué,2580,2581,"48.887455517678035, 2.3877553012294106",16,0,0,48.887455517678035,2.3877553012294106
5369,2025-07-23 16:00:00+00:00,3000.0,34.65,Saturé,918,915,"48.90072530781521, 2.371325565298014",16,2,0,48.90072530781521,2.371325565298014
4224,2025-09-02 12:00:00+00:00,767.0,9.01111,Fluide,2266,2264,"48.8742208121303, 2.299997672740901",12,1,0,48.8742208121303,2.299997672740901
5939,2025-12-02 01:00:00+00:00,149.0,4.82,Inconnu,3085,3084,"48.88234880023468, 2.3385609206690385",1,1,0,48.88234880023468,2.3385609206690385
1148,2025-03-11 09:00:00+00:00,610.0,4.82,Inconnu,633,634,"48.825716504847236, 2.3001940887828694",9,1,0,48.825716504847236,2.3001940887828694
5725,2025-05-09 11:00:00+00:00,271.0,3.57611,Fluide,2997,2996,"48.83250555847874, 2.312181556433602",11,4,0,48.83250555847874,2.312181556433602
4896,2025-06-04 20:00:00+00:00,444.0,7.94167,Fluide,2581,2580,"48.88735343320046, 2.3878076213186157",20,2,0,48.88735343320046,2.3878076213186157
5387,2025-08-26 11:00:00+00:00,3000.0,10.95,Fluide,802,788,"48.88427824620128, 2.3988555151769373",11,1,0,48.88427824620128,2.3988555151769373
302,2025-09-02 10:00:00+00:00,336.0,4.01111,Fluide,179,177,"48.86696000118719, 2.333796736935272",10,1,0,48.86696000118719,2.333796736935272
4532,2025-11-04 19:00:00+00:00,1449.0,18.54611,Pré-saturé,2428,3195,"48.85794434322401, 2.2879570464024455",19,1,0,48.85794434322401,2.2879570464024455
848,2024-12-05 09:00:00+00:00,66.0,4.82,Inconnu,3197,276,"48.844304894539725, 2.3695679142096946",9,3,0,48.844304894539725,2.3695679142096946
5105,2025-01-06 08:00:00+00:00,641.0,12.85556,Fluide,2677,2687,"48.83352051883225, 2.3644324758979085",8,0,0,48.83352051883225,2.3644324758979085
5436,2025-02-12 16:00:00+00:00,3000.0,13.7,Fluide,2441,2437,"48.863457759231785, 2.2660740271913795",16,2,0,48.863457759231785,2.2660740271913795
6125,2025-03-10 21:00:00+00:00,751.5,4.82,Inconnu,3176,2582,"48.846133498491206, 2.3765843934877866",21,0,0,48.846133498491206,2.3765843934877866
5369,2025-07-23 15:00:00+00:00,3000.0,31.1,Saturé,918,915,"48.90072530781521, 2.371325565298014",15,2,0,48.90072530781521,2.371325565298014
5939,2025-12-02 02:00:00+00:00,117.0,4.82,Inconnu,3085,3084,"48.88234880023468, 2.3385609206690385",2,1,0,48.88234880023468,2.3385609206690385
1148,2025-03-11 08:00:00+00:00,622.0,4.82,Inconnu,633,634,"48.825716504847236, 2.3001940887828694",8,1,0,48.825716504847236,2.3001940887828694
5725,2025-05-09 10:00:00+00:00,255.0,3.19889,Fluide,2997,2996,"48.83250555847874, 2.312181556433602",10,4,0,48.83250555847874,2.312181556433602
4896,2025-06-04 19:00:00+00:00,343.0,10.28445,Fluide,2581,2580,"48.88735343320046, 2.3878076213186157",19,2,0,48.88735343320046,2.3878076213186157
302,2025-09-02 11:00:00+00:00,335.0,4.04445,Fluide,179,177,"48.86696000118719, 2.333796736935272",11,1,0,48.86696000118719,2.333796736935272
4532,2025-11-04 21:00:00+00:00,789.0,0.78556,Fluide,2428,3195,"48.85794434322401, 2.2879570464024455",21,1,0,48.85794434322401,2.2879570464024455
848,2024-12-05 10:00:00+00:00,85.0,4.82,Inconnu,3197,276,"48.844304894539725, 2.3695679142096946",10,3,0,48.844304894539725,2.3695679142096946
5436,2025-02-12 11:00:00+00:00,3000.0,17.4,Pré-saturé,2441,2437,"48.863457759231785, 2.2660740271913795",11,2,0,48.863457759231785,2.2660740271913795
6125,2025-03-10 20:00:00+00:00,708.0,4.82,Inconnu,3176,2582,"48.846133498491206, 2.3765843934877866",20,0,0,48.846133498491206,2.3765843934877866
5715,2025-05-09 10:00:00+00:00,149.0,20.91778,Pré-saturé,2991,2975,"48.835098729299176, 2.3038898657109375",10,4,0,48.835098729299176,2.3038898657109375
5370,2025-07-23 21:00:00+00:00,3000.0,9.4,Fluide,915,2838,"48.90086282635956, 2.3652928265234094",21,2,0,48.90086282635956,2.3652928265234094
5415,2025-09-02 10:00:00+00:00,3000.0,16.6,Pré-saturé,2270,2265,"48.89180166620453, 2.301209921059871",10,1,0,48.89180166620453,2.301209921059871
5939,2025-12-02 04:00:00+00:00,112.0,4.82,Inconnu,3085,3084,"48.88234880023468, 2.3385609206690385",4,1,0,48.88234880023468,2.3385609206690385
1148,2025-03-11 04:00:00+00:00,88.0,4.82,Inconnu,633,634,"48.825716504847236, 2.3001940887828694",4,1,0,48.825716504847236,2.3001940887828694
5725,2025-05-09 09:00:00+00:00,262.0,2.65,Fluide,2997,2996,"48.83250555847874, 2.312181556433602",9,4,0,48.83250555847874,2.312181556433602
4896,2025-06-04 15:00:00+00:00,320.0,11.055,Fluide,2581,2580,"48.88735343320046, 2.3878076213186157",15,2,0,48.88735343320046,2.3878076213186157
5361,2025-08-26 10:00:00+00:00,3000.0,9.95,Fluide,2831,789,"48.87879196757025, 2.4077276001274788",10,1,0,48.87879196757025,2.4077276001274788
302,2025-09-02 12:00:00+00:00,333.0,3.84334,Fluide,179,177,"48.86696000118719, 2.333796736935272",12,1,0,48.86696000118719,2.333796736935272
4532,2025-11-04 22:00:00+00:00,974.0,0.67889,Fluide,2428,3195,"48.85794434322401, 2.2879570464024455",22,1,0,48.85794434322401,2.2879570464024455
5433,2025-02-12 17:00:00+00:00,3000.0,19.55,Pré-saturé,2797,2438,"48.86792345952233, 2.269684069022515",17,2,0,48.86792345952233,2.269684069022515
6125,2025-03-10 16:00:00+00:00,717.0,4.82,Inconnu,3176,2582,"48.846133498491206, 2.3765843934877866",16,0,0,48.846133498491206,2.3765843934877866
5715,2025-05-09 09:00:00+00:00,176.0,23.19445,Pré-saturé,2991,2975,"48.835098729299176, 2.3038898657109375",9,4,0,48.835098729299176,2.3038898657109375
5370,2025-07-23 20:00:00+00:00,3000.0,7.75,Fluide,915,2838,"48.90086282635956, 2.3652928265234094",20,2,0,48.90086282635956,2.3652928265234094
5415,2025-09-02 11:00:00+00:00,3000.0,18.0,Pré-saturé,2270,2265,"48.89180166620453, 2.301209921059871",11,1,0,48.89180166620453,2.301209921059871
5939,2025-12-02 06:00:00+00:00,174.0,4.82,Inconnu,3085,3084,"48.88234880023468, 2.3385609206690385",6,1,0,48.88234880023468,2.3385609206690385
5141,2025-01-06 08:00:00+00:00,369.0,12.60833,Fluide,2654,2704,"48.83260555977292, 2.379334355712254",8,0,0,48.83260555977292,2.379334355712254
1148,2025-03-11 03:00:00+00:00,55.0,4.82,Inconnu,633,634,"48.825716504847236, 2.3001940887828694",3,1,0,48.825716504847236,2.3001940887828694
5722,2025-05-09 12:00:00+00:00,282.0,1.73556,Fluide,2994,2996,"48.833131514111855, 2.3103322534669646",12,4,0,48.833131514111855,2.3103322534669646
4897,2025-06-04 21:00:00+00:00,350.0,6.48667,Fluide,2583,2581,"48.88676002566284, 2.385581239189898",21,2,0,48.88676002566284,2.385581239189898
301,2025-09-02 11:00:00+00:00,202.0,2.61667,Fluide,178,177,"48.8657012014445, 2.3345218185021994",11,1,0,48.8657012014445,2.3345218185021994
523,2025-10-09 14:00:00+00:00,595.0,51.10333,Bloqué,308,309,"48.86534859372337, 2.3520691795456035",14,3,0,48.86534859372337,2.3520691795456035
4532,2025-11-04 23:00:00+00:00,951.0,0.63222,Fluide,2428,3195,"48.85794434322401, 2.2879570464024455",23,1,0,48.85794434322401,2.2879570464024455
4059,2024-12-05 10:00:00+00:00,596.0,1.67389,Fluide,3199,2137,"48.871631978380535, 2.3375742056951365",10,3,0,48.871631978380535,2.3375742056951365
5433,2025-02-12 15:00:00+00:00,3000.0,19.8,Pré-saturé,2797,2438,"48.86792345952233, 2.269684069022515",15,2,0,48.86792345952233,2.269684069022515
5041,2025-03-10 23:00:00+00:00,129.0,1.82223,Fluide,2661,2582,"48.845794269435935, 2.3785716285798344",23,0,0,48.845794269435935,2.3785716285798344
5370,2025-07-23 17:00:00+00:00,3000.0,35.1,Saturé,915,2838,"48.90086282635956, 2.3652928265234094",17,2,0,48.90086282635956,2.3652928265234094
1882,2025-08-04 23:00:00+00:00,117.0,1.82167,Fluide,2038,2039,"48.889817572778114, 2.3214117366661373",23,0,0,48.889817572778114,2.3214117366661373
5415,2025-09-02 12:00:00+00:00,3000.0,16.1,Pré-saturé,2270,2265,"48.89180166620453, 2.301209921059871",12,1,0,48.89180166620453,2.301209921059871
5936,2025-12-02 00:00:00+00:00,593.0,4.82,Inconnu,3083,3084,"48.88262060415656, 2.3360806967554835",0,1,0,48.88262060415656,2.3360806967554835
1148,2025-03-11 00:00:00+00:00,195.0,4.82,Inconnu,633,634,"48.825716504847236, 2.3001940887828694",0,1,0,48.825716504847236,2.3001940887828694
5722,2025-05-09 09:00:00+00:00,235.0,1.84611,Fluide,2994,2996,"48.833131514111855, 2.3103322534669646",9,4,0,48.833131514111855,2.3103322534669646
4897,2025-06-04 18:00:00+00:00,504.0,9.44056,Fluide,2583,2581,"48.88676002566284, 2.385581239189898",18,2,0,48.88676002566284,2.385581239189898
1947,2025-08-26 12:00:00+00:00,513.0,3.62167,Fluide,2134,2098,"48.87213491800337, 2.339138421867985",12,1,0,48.87213491800337,2.339138421867985
301,2025-09-02 12:00:00+00:00,230.0,2.93722,Fluide,178,177,"48.8657012014445, 2.3345218185021994",12,1,0,48.8657012014445,2.3345218185021994
523,2025-10-09 16:00:00+00:00,801.0,13.11,Fluide,308,309,"48.86534859372337, 2.3520691795456035",16,3,0,48.86534859372337,2.3520691795456035
5112,2025-01-06 08:00:00+00:00,283.0,18.47278,Pré-saturé,2587,2590,"48.83724672851158, 2.390487216595303",8,0,0,48.83724672851158,2.390487216595303
5433,2025-02-12 14:00:00+00:00,3000.0,20.05,Pré-saturé,2797,2438,"48.86792345952233, 2.269684069022515",14,2,0,48.86792345952233,2.269684069022515
5041,2025-03-10 22:00:00+00:00,148.0,1.91111,Fluide,2661,2582,"48.845794269435935, 2.3785716285798344",22,0,0,48.845794269435935,2.3785716285798344
5370,2025-07-23 16:00:00+00:00,3000.0,34.15,Saturé,915,2838,"48.90086282635956, 2.3652928265234094",16,2,0,48.90086282635956,2.3652928265234094
1882,2025-08-05 00:00:00+00:00,69.0,1.01944,Fluide,2038,2039,"48.889817572778114, 2.3214117366661373",0,1,0,48.889817572778114,2.3214117366661373
4408,2025-09-02 12:00:00+00:00,414.0,25.63778,Pré-saturé,2362,2266,"48.87401217951334, 2.2981085271728983",12,1,0,48.87401217951334,2.2981085271728983
4800,2025-11-04 15:00:00+00:00,231.0,1.48278,Fluide,520,2555,"48.836975994625014, 2.4028440496635777",15,1,0,48.836975994625014,2.4028440496635777
5936,2025-12-02 01:00:00+00:00,460.0,4.82,Inconnu,3083,3084,"48.88262060415656, 2.3360806967554835",1,1,0,48.88262060415656,2.3360806967554835
1916,2025-02-04 08:00:00+00:00,913.0,7.19611,Fluide,2061,2062,"48.88425703260311, 2.330090277596609",8,1,0,48.88425703260311,2.330090277596609
5727,2025-05-09 12:00:00+00:00,270.0,6.41,Fluide,2998,2997,"48.83203044085646, 2.3135073952672514",12,4,0,48.83203044085646,2.3135073952672514
4897,2025-06-04 17:00:00+00:00,485.0,9.12778,Fluide,2583,2581,"48.88676002566284, 2.385581239189898",17,2,0,48.88676002566284,2.385581239189898
1975,2025-08-26 12:00:00+00:00,440.0,1.92278,Fluide,2094,2100,"48.87625433064006, 2.333871488376464",12,1,0,48.87625433064006,2.333871488376464
523,2025-10-09 17:00:00+00:00,718.0,10.74222,Fluide,308,309,"48.86534859372337, 2.3520691795456035",17,3,0,48.86534859372337,2.3520691795456035
5433,2025-02-12 13:00:00+00:00,3000.0,21.15,Pré-saturé,2797,2438,"48.86792345952233, 2.269684069022515",13,2,0,48.86792345952233,2.269684069022515
5041,2025-03-10 21:00:00+00:00,167.0,1.96,Fluide,2661,2582,"48.845794269435935, 2.3785716285798344",21,0,0,48.845794269435935,2.3785716285798344
5370,2025-07-23 15:00:00+00:00,3000.0,34.85,Saturé,915,2838,"48.90086282635956, 2.3652928265234094",15,2,0,48.90086282635956,2.3652928265234094
1882,2025-08-05 02:00:00+00:00,39.0,0.54,Fluide,2038,2039,"48.889817572778114, 2.3214117366661373",2,1,0,48.889817572778114,2.3214117366661373
4222,2025-09-02 11:00:00+00:00,493.0,26.44167,Pré-saturé,2264,2266,"48.87433338405353, 2.300067261621085",11,1,0,48.87433338405353,2.300067261621085
4800,2025-11-04 17:00:00+00:00,219.0,1.43445,Fluide,520,2555,"48.836975994625014, 2.4028440496635777",17,1,0,48.836975994625014,2.4028440496635777
5936,2025-12-02 03:00:00+00:00,247.0,4.82,Inconnu,3083,3084,"48.88262060415656, 2.3360806967554835",3,1,0,48.88262060415656,2.3360806967554835
5198,2025-01-06 08:00:00+00:00,804.0,9.03667,Fluide,2739,2748,"48.88577708973525, 2.290218249525719",8,0,0,48.88577708973525,2.290218249525719
1916,2025-02-04 07:00:00+00:00,874.0,8.11,Fluide,2061,2062,"48.88425703260311, 2.330090277596609",7,1,0,48.88425703260311,2.330090277596609
5727,2025-05-09 11:00:00+00:00,271.0,6.44945,Fluide,2998,2997,"48.83203044085646, 2.3135073952672514",11,4,0,48.83203044085646,2.3135073952672514
4897,2025-06-04 15:00:00+00:00,465.0,9.27389,Fluide,2583,2581,"48.88676002566284, 2.385581239189898",15,2,0,48.88676002566284,2.385581239189898
523,2025-10-09 18:00:00+00:00,701.0,12.35111,Fluide,308,309,"48.86534859372337, 2.3520691795456035",18,3,0,48.86534859372337,2.3520691795456035
5433,2025-02-12 12:00:00+00:00,3000.0,19.7,Pré-saturé,2797,2438,"48.86792345952233, 2.269684069022515",12,2,0,48.86792345952233,2.269684069022515
5041,2025-03-10 18:00:00+00:00,282.0,3.88389,Fluide,2661,2582,"48.845794269435935, 2.3785716285798344",18,0,0,48.845794269435935,2.3785716285798344
5370,2025-07-23 14:00:00+00:00,3000.0,34.55,Saturé,915,2838,"48.90086282635956, 2.3652928265234094",14,2,0,48.90086282635956,2.3652928265234094
1882,2025-08-05 03:00:00+00:00,42.0,0.585,Fluide,2038,2039,"48.889817572778114, 2.3214117366661373",3,1,0,48.889817572778114,2.3214117366661373
5414,2025-09-02 11:00:00+00:00,3000.0,13.55,Fluide,2268,2267,"48.8919275015165, 2.3010145092460785",11,1,0,48.8919275015165,2.3010145092460785
4800,2025-11-04 19:00:00+00:00,195.0,1.18611,Fluide,520,2555,"48.836975994625014, 2.4028440496635777",19,1,0,48.836975994625014,2.4028440496635777
5936,2025-12-02 04:00:00+00:00,300.0,4.82,Inconnu,3083,3084,"48.88262060415656, 2.3360806967554835",4,1,0,48.88262060415656,2.3360806967554835
1916,2025-02-04 03:00:00+00:00,184.0,1.58222,Fluide,2061,2062,"48.88425703260311, 2.330090277596609",3,1,0,48.88425703260311,2.330090277596609
5727,2025-05-09 10:00:00+00:00,255.0,5.89334,Fluide,2998,2997,"48.83203044085646, 2.3135073952672514",10,4,0,48.83203044085646,2.3135073952672514
4844,2025-06-04 22:00:00+00:00,311.0,6.13111,Fluide,2580,2581,"48.887455517678035, 2.3877553012294106",22,2,0,48.887455517678035,2.3877553012294106
300,2025-09-02 12:00:00+00:00,333.0,3.84334,Fluide,177,178,"48.86552524206451, 2.334417103910794",12,1,0,48.86552524206451,2.334417103910794
523,2025-10-09 19:00:00+00:00,679.0,10.60667,Fluide,308,309,"48.86534859372337, 2.3520691795456035",19,3,0,48.86534859372337,2.3520691795456035
6207,2024-12-05 09:00:00+00:00,536.9,4.82,Inconnu,3222,664,"48.8687145431324, 2.3626993774135134",9,3,0,48.8687145431324,2.3626993774135134
5433,2025-02-12 11:00:00+00:00,3000.0,20.35,Pré-saturé,2797,2438,"48.86792345952233, 2.269684069022515",11,2,0,48.86792345952233,2.269684069022515
5041,2025-03-10 17:00:00+00:00,248.0,3.215,Fluide,2661,2582,"48.845794269435935, 2.3785716285798344",17,0,0,48.845794269435935,2.3785716285798344
5375,2025-07-23 22:00:00+00:00,2800.0,7.6,Fluide,2838,955,"48.90089536624296, 2.361976852924589",22,2,0,48.90089536624296,2.361976852924589
1882,2025-08-05 05:00:00+00:00,41.0,1.66778,Fluide,2038,2039,"48.889817572778114, 2.3214117366661373",5,1,0,48.889817572778114,2.3214117366661373
5408,2025-09-02 11:00:00+00:00,3000.0,18.9,Pré-saturé,2850,2268,"48.89373523458624, 2.303989696971492",11,1,0,48.89373523458624,2.303989696971492
4800,2025-11-04 20:00:00+00:00,250.0,1.13167,Fluide,520,2555,"48.836975994625014, 2.4028440496635777",20,1,0,48.836975994625014,2.4028440496635777
5936,2025-12-02 06:00:00+00:00,469.0,4.82,Inconnu,3083,3084,"48.88262060415656, 2.3360806967554835",6,1,0,48.88262060415656,2.3360806967554835
270,2026-01-02 23:00:00+00:00,351.0,5.57167,Fluide,162,136,"48.86721030114421, 2.3153691680671855",23,4,0,48.86721030114421,2.3153691680671855
1916,2025-02-04 01:00:00+00:00,434.0,3.96333,Fluide,2061,2062,"48.88425703260311, 2.330090277596609",1,1,0,48.88425703260311,2.330090277596609
5724,2025-05-09 12:00:00+00:00,282.0,1.67667,Fluide,2996,2997,"48.832460136958616, 2.312143479843284",12,4,0,48.832460136958616,2.312143479843284
